Tresasury,Date,Price,,Corporate,Date,Price,,,10year,Date,Price,,index,Date,Price,,ER,Date,Open,Close,Mean,,GDP,100 million yuan,CPI,,,,M1,,
,Jul 18,166.42,,,Jul 18,186.95,20.53,,,Jul 18,3.533,,,Jul 18,2876.4,,,2016-07-01,6.6381,6.6423,6.6402,6.658283333,,218062.8,,101.8,101.6666667,,,1416319.55,1429045.42
,Jun 18,165.45,,,Jun 18,185.85,20.4,20.56333333,,Jun 18,3.543,3.614,,Jun 18,2847.42,3008.37,,2016-08-01,6.6424,6.6804,6.6614,,,242573.8,,101.3,,,,1424618.68,
,May 18,164.7,,,May 18,185.23,20.53,,,May 18,3.646,,,May 18,3095.47,,,2016-09-01,6.6778,6.6687,6.67325,,,252208.7,,101.9,,,,1446198.03,
,Apr 18,163.92,,,Apr 18,184.68,20.76,,,Apr 18,3.653,,,Apr 18,3082.23,,,2016-10-01,6.6707,6.7834,6.72705,6.826833333,,278019.7,,102.1,102.1666667,,,1445209.59,1465798.843
,Mar 18,162.96,,,Mar 18,183.43,20.47,20.82333333,,Mar 18,3.778,3.859666667,,Mar 18,3168.9,3303.05,,2016-11-01,6.775,6.8973,6.83615,,,,,102.3,,,,1461695.11,
,Feb 18,162.05,,,Feb 18,182.94,20.89,,,Feb 18,3.857,,,Feb 18,3259.41,,,2016-12-01,6.8908,6.9438,6.9173,,,,,102.1,,,,1490491.83,
,Jan 18,161.27,,,Jan 18,182.38,21.11,,,Jan 18,3.944,,,Jan 18,3480.83,,,2017-01-01,6.9438,6.8807,6.91225,6.888216667,,,,102.5,101.4,,,1491558.72,1506300.71
,Dec 17,160.85,,,Dec 17,181.97,21.12,20.84666667,,Dec 17,3.915,3.916,,Dec 17,3307.17,3339.23,,2017-02-01,6.8787,6.8701,6.8744,,,,,100.8,,,,1510982.91,
,Nov 17,160.81,,,Nov 17,181.65,20.84,,,Nov 17,3.917,,,Nov 17,3317.19,,,2017-03-01,6.867,6.889,6.878,,,,,100.9,,,,1516360.5,
,Oct 17,160.81,,,Oct 17,181.39,20.58,,,Oct 17,3.916,,,Oct 17,3393.34,,,2017-04-01,6.8903,6.8969,6.8936,6.8588,,,,101.2,101.4,,,1519485.4,1533328.043
,Sep 17,160.69,,,Sep 17,180.98,20.29,19.95,,Sep 17,3.638,3.647333333,,Sep 17,3348.94,3327.59,,2017-05-01,6.9113,6.8558,6.88355,,,,,101.5,,,,1530432.06,
,Aug 17,160.71,,,Aug 17,180.53,19.82,,,Aug 17,3.675,,,Aug 17,3360.81,,,2017-06-01,6.8128,6.7857,6.79925,,,,,101.5,,,,1550066.67,
,Jul 17,160.37,,,Jul 17,180.11,19.74,,,Jul 17,3.629,,,Jul 17,3273.03,,,2017-07-01,6.7765,6.7389,6.7577,6.6817,,,,101.4,101.6,,,1584194.56,1593996.847
,Jun 17,160.41,,,Jun 17,179.62,19.21,19.03333333,,Jun 17,3.578,3.575,,Jun 17,3192.43,3154.76,,2017-08-01,6.7252,6.5957,6.66045,,,,,101.8,,,,1589857,
,May 17,160.15,,,May 17,179.16,19.01,,,May 17,3.67,,,May 17,3117.18,,,2017-09-01,6.5889,6.665,6.62695,,,,,101.6,,,,1607938.98,
,Apr 17,160.61,,,Apr 17,179.49,18.88,,,Apr 17,3.477,,,Apr 17,3154.66,,,2017-10-01,6.6356,6.6424,6.639,6.606283333,,,,101.9,101.8,,,1603918.84,1606829.805
,Mar 17,160.18,,,Mar 17,179.65,19.47,19.63,,Mar 17,3.31,3.343666667,,Mar 17,3222.51,3207.8,,2017-11-01,6.6346,6.6083,6.62145,,,,,101.7,,,,1609740.77,
